uid,interest
e31e7cf3-9c4b-4da7-be33-db0e0cf4edd7,🍔 Reducing spending
1df722a8-757b-41ec-a8e4-9c77f64c24b5,🍔 Reducing spending
fcef6ea1-11e2-4b2c-84b6-8a641e0efc92,🍔 Reducing spending
a394570c-c696-4b03-ac03-83b908ec8c92,🍔 Reducing spending
f6d2e62a-ad44-44dd-97cc-56677d6e4231,🍔 Reducing spending
8b8eef1e-4a3e-4939-8769-8a1e6d5439c7,🍔 Reducing spending
d97bd490-7f6c-49b6-b35a-60bf696b4948,🍔 Reducing spending
599599cb-43fc-469d-8fed-b9560c48e46f,🍔 Reducing spending
89479f0d-2e5a-4c5a-82f2-ddc07fafe1f4,🍔 Reducing spending
eb2ec654-dbdd-4437-9eda-3b03b1ea13e3,🍔 Reducing spending
a4d2cc9d-367a-4ec1-882a-618f34195aa1,🍔 Reducing spending
0ba4476e-a542-470c-a41d-2a8c6a45ddc1,🍔 Reducing spending
4fd9b407-1238-44c5-ad40-052058484364,🍔 Reducing spending
697df7e0-1419-4d7b-a332-5e783e5340a9,🍔 Reducing spending
78453eea-170f-4fc8-8ec7-acf44e171650,🍔 Reducing spending
48e0b7d4-30dc-4871-88a7-465648af9056,🍔 Reducing spending
e04d1ff1-b371-4fea-9abe-7217b3af9c80,🍔 Reducing spending
c95a92b9-83cb-4b27-be40-ec99893a09a2,🍔 Reducing spending
77e0eea7-d977-4c80-8ee4-cbe6a2bddbb8,🍔 Reducing spending
7e253d80-cd1f-4061-8340-b63cbf7dc17c,🍔 Reducing spending
e31e7cf3-9c4b-4da7-be33-db0e0cf4edd7,📄 Track bills
1df722a8-757b-41ec-a8e4-9c77f64c24b5,📄 Track bills
fcef6ea1-11e2-4b2c-84b6-8a641e0efc92,📄 Track bills
a394570c-c696-4b03-ac03-83b908ec8c92,📄 Track bills
f6d2e62a-ad44-44dd-97cc-56677d6e4231,📄 Track bills
8b8eef1e-4a3e-4939-8769-8a1e6d5439c7,📄 Track bills
d97bd490-7f6c-49b6-b35a-60bf696b4948,📄 Track bills
599599cb-43fc-469d-8fed-b9560c48e46f,📄 Track bills
89479f0d-2e5a-4c5a-82f2-ddc07fafe1f4,📄 Track bills
eb2ec654-dbdd-4437-9eda-3b03b1ea13e3,📄 Track bills
a4d2cc9d-367a-4ec1-882a-618f34195aa1,📄 Track bills
0ba4476e-a542-470c-a41d-2a8c6a45ddc1,📄 Track bills
4fd9b407-1238-44c5-ad40-052058484364,📄 Track bills
697df7e0-1419-4d7b-a332-5e783e5340a9,📄 Track bills
78453eea-170f-4fc8-8ec7-acf44e171650,📄 Track bills
48e0b7d4-30dc-4871-88a7-465648af9056,📄 Track bills
ff867bce-cf9e-4c87-a79f-8b4543cf3704,📄 Track bills
f145f774-7eed-429d-9cc5-1f20ba144be4,🤑 See my spending habits
7e4cb900-a09e-4d1d-8b65-ecd3ef51f132,🤑 See my spending habits
587caef0-3c16-445f-88b0-d252a67475c7,🤑 See my spending habits
8887103e-1841-4cb5-9d31-7d03078dc4cd,🤑 See my spending habits
11046b0b-2eab-4bb9-a8b6-e79d5c04a0e0,🤑 See my spending habits
